num_agents,edge_density,graph_type,dsa_threshold,num_actions,num_iterations,cost_range,y
90,0.5,barabasi_albert,0.9,7,100,101,37.31818181818182
90,0.75,barabasi_albert,0.75,2,1000,501,200.50757575757575
25,0.75,barabasi_albert,0.5,9,100,501,193.64705882352942
10,0.9,erdos_renyi,0.9,9,50,11,4.024390243902439
50,0.5,erdos_renyi,0.75,9,200,51,23.38050314465409
50,0.99,erdos_renyi,0.75,5,50,101,47.841714756801316
100,0.5,complete,0.9,4,200,51,23.556363636363635
50,0.1,complete,0.1,2,500,51,26.672131147540984
25,0.75,complete,0.5,9,1000,51,22.137777777777778
10,0.1,complete,0.9,4,500,501,94.0
90,0.9,barabasi_albert,0.75,5,200,4,1.620253164556962
75,0.1,erdos_renyi,0.25,5,500,501,226.91071428571428
75,0.25,complete,0.1,5,200,501,238.08080808080808
90,0.99,complete,0.5,2,1000,101,48.640010090817356
75,0.1,barabasi_albert,0.5,10,50,501,161.0
100,0.75,complete,0.75,3,1000,101,47.86557112068966
10,0.25,barabasi_albert,0.9,3,50,501,77.75
90,0.1,complete,0.9,7,500,4,1.74
50,0.1,barabasi_albert,0.9,9,1000,51,4.777777777777778
10,0.5,erdos_renyi,0.1,5,50,11,4.72
100,0.5,complete,0.99,7,1000,501,232.82787878787877
75,0.99,barabasi_albert,0.99,7,100,4,1.4722222222222223
25,0.75,erdos_renyi,0.1,7,1000,11,4.942982456140351
50,0.99,erdos_renyi,0.5,10,200,101,47.541940789473685
100,0.1,erdos_renyi,0.9,9,50,101,45.646808510638294
10,0.1,erdos_renyi,0.1,9,200,11,1.0
100,0.9,barabasi_albert,0.99,6,1000,11,4.090909090909091
25,0.75,complete,0.5,2,200,101,45.48444444444444
75,0.1,erdos_renyi,0.1,7,200,51,23.486577181208055
10,0.9,complete,0.5,5,200,501,178.325
50,0.25,barabasi_albert,0.1,7,1000,501,169.79166666666666
50,0.25,erdos_renyi,0.99,5,100,11,4.741935483870968
25,0.75,barabasi_albert,0.1,3,1000,4,1.6176470588235294
25,0.1,barabasi_albert,0.1,8,200,4,1.0
25,0.5,barabasi_albert,0.9,5,1000,51,11.869565217391305
25,0.1,barabasi_albert,0.25,5,500,501,80.0
25,0.25,erdos_renyi,0.5,3,200,101,39.75
90,0.99,erdos_renyi,0.99,2,100,11,5.184183931278423
10,0.5,barabasi_albert,0.5,6,50,51,15.375
100,0.5,complete,0.1,2,500,4,1.9987878787878788
100,0.75,barabasi_albert,0.25,5,500,11,4.714285714285714
100,0.75,erdos_renyi,0.25,10,100,51,24.86399563913873
10,0.25,barabasi_albert,0.75,7,100,51,6.75
100,0.1,erdos_renyi,0.5,4,1000,51,22.820717131474105
25,0.99,complete,0.1,9,50,11,5.03030303030303
75,0.9,erdos_renyi,0.5,3,50,501,245.29963606955116
