num_agents,edge_density,graph_type,dsa_threshold,num_actions,num_iterations,cost_range,y
50,0.99,barabasi_albert,0.9,8,200,4,1.6596491228070176
10,0.99,complete,0.5,4,200,501,204.9393939393939
25,0.75,complete,0.99,6,1000,4,1.7762962962962963
90,0.1,barabasi_albert,0.1,2,1000,51,24.56862745098039
100,0.25,barabasi_albert,0.1,6,1000,4,1.7959183673469388
100,0.9,barabasi_albert,0.25,8,100,51,23.97727272727273
100,0.9,complete,0.25,3,50,4,1.9934904601571268
75,0.5,erdos_renyi,0.1,8,200,4,1.9730906513989783
75,0.5,complete,0.1,7,200,11,5.39269406392694
50,0.75,erdos_renyi,0.9,10,200,51,24.21664238394599
10,0.1,complete,0.5,2,100,101,31.333333333333332
25,0.75,erdos_renyi,0.25,4,50,11,5.312840769429452
90,0.75,complete,0.99,3,1000,501,231.77333777333777
50,0.99,complete,0.75,4,1000,11,5.167766776677667
25,0.1,erdos_renyi,0.25,3,50,101,47.98280374596164
10,0.99,complete,0.1,3,50,4,1.8484848484848486
50,0.99,complete,0.25,6,1000,101,48.93344334433443
50,0.99,barabasi_albert,0.5,5,50,4,1.7999999999999998
90,0.99,complete,0.75,7,100,4,1.9563572149344097
25,0.1,erdos_renyi,0.25,8,500,501,190.96818181818182
100,0.9,complete,0.5,6,50,11,5.409502431724654
90,0.25,barabasi_albert,0.25,7,500,11,4.734848484848484
10,0.1,erdos_renyi,0.9,9,500,11,1.375
100,0.9,complete,0.25,6,200,11,5.4205013093901995
75,0.5,erdos_renyi,0.1,7,200,4,1.9628971342918573
75,0.5,complete,0.25,10,100,4,1.9680365296803652
50,0.5,erdos_renyi,0.99,7,1000,501,226.6197309646537
90,0.5,erdos_renyi,0.5,10,1000,51,24.66663696932424
50,0.1,barabasi_albert,0.99,4,100,101,28.555555555555554
10,0.1,barabasi_albert,0.5,3,500,501,46.666666666666664
75,0.75,erdos_renyi,0.9,10,100,101,48.539768624090726
90,0.25,erdos_renyi,0.5,5,1000,11,5.220975073837752
90,0.25,complete,0.75,7,200,4,1.9200799200799201
50,0.9,complete,0.9,5,50,501,233.7347247428917
10,0.5,barabasi_albert,0.1,10,100,4,1.6666666666666667
90,0.75,erdos_renyi,0.9,9,200,11,5.315166071013
100,0.25,erdos_renyi,0.99,8,50,101,46.93004978319749
90,0.25,barabasi_albert,0.5,7,50,4,1.7196969696969695
100,0.1,erdos_renyi,0.75,9,1000,101,46.15007649649388
75,0.5,complete,0.5,8,50,101,49.14852198990627
75,0.75,barabasi_albert,0.75,9,50,51,21.941896024464835
50,0.25,erdos_renyi,0.25,3,500,101,47.63712392339559
10,0.9,barabasi_albert,0.9,8,100,51,17.42857142857143
50,0.1,barabasi_albert,0.5,8,500,4,1.4074074074074074
90,0.75,erdos_renyi,0.5,4,50,4,1.9619824626055375
10,0.25,complete,0.1,6,500,51,18.333333333333332
90,0.25,complete,0.25,2,500,51,25.942390942390944
50,0.9,complete,0.25,6,100,51,24.928917120387172
75,0.1,complete,0.9,6,100,501,211.76774969915766
25,0.75,barabasi_albert,0.5,6,50,11,4.509803921568627
