num_agents,edge_density,graph_type,dsan_temperature,num_actions,num_iterations,cost_range,y
25,0.5,barabasi_albert,1.0,6,50,101,33.2304347826087
100,0.25,barabasi_albert,1.0,8,1000,101,30.74285714285714
10,0.5,erdos_renyi,5.0,6,100,4,1.85633309560336
10,0.5,erdos_renyi,5.0,8,1000,51,19.21160538588456
75,0.99,erdos_renyi,2.0,3,1000,4,1.9067638822336412
10,0.25,barabasi_albert,2.0,4,500,101,25.875
50,0.1,barabasi_albert,0.75,2,50,11,3.2666666666666666
10,0.25,complete,5.0,5,100,101,27.090909090909086
100,0.9,barabasi_albert,5.0,6,200,101,38.27499999999999
25,0.75,complete,2.0,10,50,11,5.054222222222222
75,0.5,erdos_renyi,5.0,7,50,4,1.9446432214133502
100,0.99,barabasi_albert,1.0,3,100,4,1.7525773195876286
50,0.25,erdos_renyi,5.0,8,1000,501,215.9307487141733
50,0.25,erdos_renyi,2.0,9,500,11,4.920196946530302
25,0.25,erdos_renyi,10.0,5,500,501,180.81090951520628
75,0.9,complete,2.0,3,500,101,46.71177412895474
100,0.75,barabasi_albert,0.75,3,200,101,36.89319727891157
50,0.9,complete,10.0,2,500,501,233.68185117967332
100,0.75,complete,10.0,9,1000,51,24.375026939655175
75,0.5,barabasi_albert,0.75,9,50,4,1.7958904109589042
10,0.99,barabasi_albert,5.0,5,1000,101,34.39333333333333
90,0.5,barabasi_albert,10.0,5,50,11,5.0034090909090905
100,0.99,erdos_renyi,5.0,8,50,51,24.481628749918322
100,0.5,erdos_renyi,1.0,2,100,51,23.812335351663314
100,0.5,barabasi_albert,0.75,10,500,101,36.42448979591836
100,0.25,erdos_renyi,10.0,10,200,501,233.73567088887665
10,0.9,erdos_renyi,5.0,6,200,101,39.24629569856702
90,0.99,complete,1.0,2,200,4,1.9240918264379416
90,0.25,erdos_renyi,1.0,10,100,4,1.9094586580185542
25,0.25,erdos_renyi,5.0,6,1000,51,19.06378697766932
50,0.1,erdos_renyi,0.75,9,100,11,4.653455497299058
75,0.9,barabasi_albert,10.0,7,500,501,188.26335877862596
75,0.25,complete,1.0,2,100,4,1.8585858585858586
90,0.9,complete,0.75,5,1000,11,5.162791342952275
25,0.25,complete,1.0,4,500,101,35.11333333333333
50,0.25,complete,5.0,8,50,501,216.109477124183
100,0.5,complete,2.0,9,50,51,24.097373737373736
50,0.99,erdos_renyi,2.0,4,100,4,1.8994213428296849
10,0.99,erdos_renyi,2.0,8,200,51,20.388181818181817
90,0.5,barabasi_albert,1.0,5,500,101,33.29545454545455
25,0.5,barabasi_albert,2.0,4,1000,101,33.504347826086956
100,0.9,complete,2.0,2,200,51,24.245925925925924
10,0.25,erdos_renyi,10.0,7,200,501,127.61699161949161
25,0.75,erdos_renyi,0.75,4,1000,11,4.688022559308946
25,0.25,complete,5.0,2,1000,51,21.329333333333334
90,0.1,barabasi_albert,10.0,2,50,11,4.811764705882353
75,0.75,complete,10.0,7,1000,4,1.9666987025468525
50,0.9,complete,10.0,7,100,11,5.2424682395644275
100,0.25,barabasi_albert,5.0,3,1000,101,31.053061224489795
75,0.5,barabasi_albert,10.0,9,100,11,5.108219178082192
75,0.25,erdos_renyi,0.75,8,500,4,1.8693509514891649
90,0.75,barabasi_albert,2.0,6,500,4,1.8348484848484847
75,0.5,erdos_renyi,5.0,9,50,51,23.734627907020656
90,0.1,barabasi_albert,0.75,2,50,501,180.75882352941176
50,0.25,complete,0.75,9,100,4,1.868954248366013
90,0.75,erdos_renyi,10.0,4,1000,101,46.51079466278006
25,0.5,complete,10.0,2,50,4,1.9186666666666667
90,0.1,complete,10.0,7,200,11,5.10525
25,0.75,complete,10.0,5,100,501,209.81955555555555
25,0.75,erdos_renyi,5.0,7,50,4,1.930553230912512
25,0.75,erdos_renyi,1.0,8,50,51,22.920915156258577
75,0.75,complete,10.0,4,50,11,5.21009130225853
100,0.9,barabasi_albert,10.0,5,100,501,182.36988636363637
50,0.99,erdos_renyi,10.0,2,500,501,234.4406215283128
25,0.75,complete,1.0,8,50,11,4.97288888888889
100,0.1,complete,10.0,10,50,11,5.241010101010102
75,0.25,barabasi_albert,5.0,3,100,11,4.388888888888888
100,0.5,erdos_renyi,2.0,7,1000,4,1.9231185003117086
10,0.9,barabasi_albert,5.0,3,100,51,17.82857142857143
75,0.25,barabasi_albert,10.0,10,200,11,4.974999999999999
100,0.99,complete,5.0,9,200,11,5.313469387755103
25,0.5,erdos_renyi,2.0,7,1000,4,1.839830727845839
75,0.99,barabasi_albert,2.0,8,1000,11,4.634027777777778
100,0.25,erdos_renyi,2.0,5,1000,4,1.8854930727332895
75,0.5,barabasi_albert,5.0,4,200,51,18.052054794520547
100,0.1,barabasi_albert,10.0,10,1000,4,1.7684210526315787
100,0.9,barabasi_albert,10.0,3,100,51,20.12272727272727
75,0.75,erdos_renyi,1.0,6,50,11,5.183020021188114
90,0.9,complete,0.75,4,200,4,1.8973085460599335
50,0.5,erdos_renyi,0.75,4,100,11,4.875069634276347
75,0.1,complete,1.0,5,500,4,1.7833935018050542
10,0.25,barabasi_albert,10.0,8,500,101,26.4
100,0.99,barabasi_albert,10.0,8,50,4,1.9376288659793814
50,0.25,barabasi_albert,5.0,10,1000,101,33.795833333333334
75,0.99,barabasi_albert,0.75,3,50,101,38.3875
90,0.25,erdos_renyi,5.0,8,100,101,45.925502903288795
50,0.9,erdos_renyi,10.0,3,500,11,5.128517556404248
75,0.1,barabasi_albert,2.0,9,500,101,25.385714285714286
50,0.75,barabasi_albert,10.0,9,500,4,1.8916666666666664
10,0.99,barabasi_albert,10.0,8,100,501,170.13333333333333
90,0.1,barabasi_albert,0.75,10,500,101,25.064705882352943
100,0.75,barabasi_albert,10.0,8,500,501,188.6
90,0.9,erdos_renyi,2.0,3,200,51,23.73422232566939
10,0.25,complete,2.0,4,50,11,4.054545454545455
10,0.25,complete,1.0,8,200,11,3.463636363636364
75,0.25,barabasi_albert,1.0,7,500,51,14.341666666666665
10,0.1,complete,10.0,3,200,501,120.825
90,0.25,barabasi_albert,1.0,8,500,101,28.759090909090908
10,0.1,complete,10.0,4,500,4,1.55
100,0.9,barabasi_albert,2.0,2,200,11,4.616477272727272
100,0.1,complete,0.75,6,50,51,21.72525252525252
10,0.5,barabasi_albert,10.0,3,500,51,15.375
10,0.25,barabasi_albert,10.0,5,1000,4,1.575
10,0.99,barabasi_albert,2.0,7,100,11,4.333333333333333
10,0.9,erdos_renyi,1.0,2,200,4,1.7749851680949242
10,0.9,erdos_renyi,2.0,2,100,4,1.7592594888057171
10,0.25,complete,0.75,3,100,4,1.6
100,0.1,complete,10.0,10,200,501,222.06545454545457
25,0.5,complete,5.0,5,100,4,1.9260000000000002
90,0.5,erdos_renyi,1.0,3,500,4,1.8763149090227564
100,0.99,erdos_renyi,0.75,3,1000,4,1.9071380637931057
50,0.75,barabasi_albert,2.0,9,500,51,19.411111111111115
90,0.25,barabasi_albert,5.0,9,1000,11,4.736363636363636
50,0.5,barabasi_albert,1.0,5,1000,11,3.75
100,0.1,complete,1.0,6,500,101,42.160202020202014
25,0.1,complete,2.0,2,1000,51,18.12333333333333
25,0.25,erdos_renyi,5.0,4,1000,501,183.42568339991996
25,0.1,barabasi_albert,1.0,4,200,101,22.2
10,0.99,complete,0.75,5,50,4,1.6636363636363636
25,0.75,erdos_renyi,2.0,3,100,4,1.8536724220286884
90,0.99,complete,5.0,3,500,101,46.93715943491422
75,0.75,erdos_renyi,0.75,6,200,4,1.8998349067798042
90,0.1,barabasi_albert,2.0,8,50,11,4.211764705882353
10,0.75,erdos_renyi,5.0,5,200,4,1.8452565058281376
10,0.1,barabasi_albert,2.0,9,1000,4,1.3
25,0.1,complete,0.75,10,1000,101,33.88
100,0.9,barabasi_albert,1.0,9,500,11,4.610795454545454
100,0.9,complete,10.0,8,50,101,48.37984287317621
75,0.25,complete,1.0,3,500,51,21.805050505050506
100,0.99,complete,5.0,9,1000,4,1.9655918367346943
50,0.99,erdos_renyi,10.0,2,1000,4,1.9403568300238323
100,0.1,complete,10.0,6,100,101,42.916363636363634
10,0.1,barabasi_albert,1.0,10,50,4,1.2
90,0.25,barabasi_albert,0.75,8,50,11,3.968181818181818
50,0.25,barabasi_albert,10.0,7,100,51,18.970833333333335
75,0.25,barabasi_albert,10.0,9,1000,11,4.822222222222221
90,0.5,barabasi_albert,5.0,5,200,4,1.8965909090909094
10,0.1,complete,1.0,2,500,4,1.425
75,0.9,complete,0.75,10,1000,11,5.2668802563075685
100,0.99,barabasi_albert,2.0,9,1000,4,1.8757731958762887
10,0.25,barabasi_albert,2.0,3,50,51,14.3
100,0.9,barabasi_albert,5.0,6,500,4,1.90625
50,0.25,barabasi_albert,2.0,5,500,11,4.025
25,0.99,complete,5.0,9,1000,101,45.507407407407406
100,0.75,erdos_renyi,0.75,7,1000,11,5.203561681976809
50,0.75,barabasi_albert,10.0,10,50,101,40.46944444444445
25,0.75,erdos_renyi,2.0,6,1000,11,4.767378726521285
50,0.1,complete,1.0,6,200,11,4.379508196721312
10,0.75,erdos_renyi,0.75,6,1000,101,34.22134015461221
75,0.25,erdos_renyi,1.0,3,200,51,21.970497367163368
90,0.5,complete,10.0,5,100,501,229.65039960039962
25,0.99,erdos_renyi,1.0,3,500,4,1.8263132120129264
10,0.25,barabasi_albert,0.75,3,500,51,17.35
75,0.99,barabasi_albert,1.0,4,50,4,1.761111111111111
75,0.75,barabasi_albert,2.0,5,100,101,36.122018348623854
10,0.5,erdos_renyi,10.0,3,50,4,1.8137318959287037
10,0.1,barabasi_albert,5.0,4,200,101,18.0
25,0.99,complete,10.0,7,500,51,22.693265993265992
100,0.75,erdos_renyi,5.0,3,500,11,5.170326516926923
10,0.9,complete,2.0,5,500,4,1.7925
50,0.99,complete,5.0,6,100,101,46.45594059405941
25,0.99,erdos_renyi,1.0,8,1000,11,4.922750970381843
90,0.25,erdos_renyi,5.0,6,200,4,1.9420073716970623
10,0.75,barabasi_albert,5.0,3,500,4,1.6666666666666667
90,0.75,erdos_renyi,2.0,3,200,51,23.530694003920512
75,0.5,erdos_renyi,0.75,10,500,4,1.9127074373330035
25,0.1,erdos_renyi,5.0,10,50,51,19.302236112486508
10,0.1,complete,2.0,10,50,4,1.675
90,0.9,complete,5.0,5,500,11,5.204134295227524
75,0.99,barabasi_albert,0.75,7,100,11,4.461111111111111
90,0.5,erdos_renyi,1.0,10,50,51,24.266633396221643
75,0.5,complete,1.0,8,500,4,1.9022350396539296
90,0.25,barabasi_albert,0.75,3,1000,51,15.715909090909088
100,0.25,complete,1.0,8,50,11,5.112530315278901
25,0.9,erdos_renyi,10.0,10,500,11,5.1886039537233035
25,0.9,erdos_renyi,10.0,2,1000,501,228.727747077095
75,0.99,barabasi_albert,1.0,8,50,4,1.8500000000000003
75,0.1,complete,10.0,5,200,4,1.945487364620939
90,0.5,erdos_renyi,2.0,4,200,11,5.024581942054178
50,0.25,erdos_renyi,0.75,8,200,51,22.09069124259611
100,0.75,barabasi_albert,0.75,6,500,11,4.125850340136055
25,0.5,erdos_renyi,0.75,2,1000,101,44.51642249474787
10,0.5,erdos_renyi,0.75,9,500,11,4.043393815527169
10,0.9,complete,10.0,2,200,4,1.8375
90,0.99,complete,1.0,2,500,11,5.2439455095862755
75,0.9,barabasi_albert,10.0,5,100,11,5.086259541984733
25,0.5,barabasi_albert,5.0,8,200,11,4.495652173913044
10,0.25,barabasi_albert,10.0,8,500,101,26.825
75,0.75,barabasi_albert,0.75,2,200,51,20.013761467889907
25,0.75,barabasi_albert,5.0,10,50,11,4.88235294117647
90,0.99,erdos_renyi,1.0,5,200,51,23.92304078505256
10,0.99,barabasi_albert,1.0,4,1000,51,16.826666666666664
50,0.1,barabasi_albert,5.0,10,200,11,4.477777777777777
100,0.1,erdos_renyi,1.0,3,200,11,4.547400434963643
100,0.9,barabasi_albert,2.0,6,200,11,4.605113636363636
100,0.1,erdos_renyi,0.75,8,500,4,1.8341503729919417
10,0.25,barabasi_albert,5.0,3,500,101,24.375
10,0.75,erdos_renyi,5.0,10,1000,11,4.734580376812268
90,0.5,erdos_renyi,5.0,7,100,11,5.194652231333867
10,0.9,barabasi_albert,5.0,5,1000,11,4.385714285714285
50,0.99,complete,1.0,2,100,11,5.167079207920791
75,0.1,barabasi_albert,0.75,9,50,4,1.6785714285714284
90,0.75,barabasi_albert,2.0,5,500,11,4.387878787878788
75,0.5,complete,2.0,9,1000,4,1.9273972602739728
10,0.1,complete,2.0,7,200,4,1.475
10,0.1,complete,10.0,8,50,4,1.675
100,0.5,barabasi_albert,10.0,2,50,51,19.385714285714286
100,0.5,complete,2.0,8,50,11,5.216080808080808
10,0.99,complete,10.0,6,200,11,4.7772727272727264
100,0.1,complete,5.0,2,200,101,42.90888888888889
25,0.25,complete,5.0,5,1000,4,1.8653333333333335
10,0.99,erdos_renyi,5.0,5,50,11,4.75570707070707
10,0.9,barabasi_albert,0.75,8,500,11,3.7428571428571424
10,0.9,erdos_renyi,5.0,4,200,501,197.90121512708265
90,0.25,barabasi_albert,5.0,7,500,101,32.23863636363637
50,0.75,barabasi_albert,0.75,4,1000,11,4.016666666666667
75,0.1,complete,2.0,2,100,4,1.8267148014440433
75,0.25,barabasi_albert,5.0,9,200,4,1.8888888888888888
50,0.75,barabasi_albert,10.0,3,200,101,35.702777777777776
100,0.25,erdos_renyi,2.0,8,500,101,46.12990731928749
25,0.1,complete,10.0,7,200,101,33.36
25,0.9,erdos_renyi,5.0,8,100,101,45.45774890520978
100,0.25,erdos_renyi,5.0,6,200,4,1.9471118247535149
50,0.1,barabasi_albert,2.0,6,500,501,128.7888888888889
90,0.25,erdos_renyi,10.0,3,1000,11,5.088192375240228
10,0.99,complete,5.0,6,500,4,1.8409090909090906
100,0.9,barabasi_albert,10.0,4,1000,101,37.54204545454545
25,0.25,barabasi_albert,0.75,2,500,51,16.545454545454547
10,0.1,complete,5.0,2,50,101,35.125
100,0.25,complete,0.75,9,100,4,1.8977364591754249
100,0.1,barabasi_albert,0.75,7,50,51,15.494736842105263
50,0.9,barabasi_albert,5.0,9,500,4,1.8802325581395347
10,0.9,erdos_renyi,1.0,9,500,11,4.552406101788658
90,0.75,complete,5.0,5,500,51,23.714152514152513
100,0.5,erdos_renyi,2.0,9,100,101,47.70795593703108
75,0.1,barabasi_albert,2.0,3,50,11,3.7357142857142853
25,0.75,complete,1.0,9,500,51,22.70311111111111
75,0.1,erdos_renyi,2.0,10,50,4,1.9046817707350256
25,0.75,erdos_renyi,0.75,9,200,11,4.905788991825821
10,0.1,erdos_renyi,1.0,7,200,11,3.054206349206349
75,0.75,barabasi_albert,0.75,5,500,11,4.0944954128440365
10,0.5,complete,2.0,10,1000,11,4.327272727272727
75,0.99,erdos_renyi,5.0,9,500,4,1.9567629791294514
100,0.9,barabasi_albert,0.75,4,100,4,1.727840909090909
50,0.1,erdos_renyi,0.75,9,200,101,40.316602060416265
50,0.75,barabasi_albert,2.0,3,500,4,1.8027777777777778
25,0.1,complete,5.0,3,100,4,1.856666666666667
25,0.75,erdos_renyi,10.0,9,500,501,221.6542656241361
100,0.75,complete,1.0,5,200,51,23.789089439655175
50,0.75,barabasi_albert,5.0,10,100,11,4.9625
25,0.1,erdos_renyi,2.0,8,50,51,16.848890567765565
