num_agents,edge_density,graph_type,dsan_temperature,num_actions,num_iterations,cost_range,y
25,0.25,complete,10.0,2,50,101,38.29777777777778
75,0.5,barabasi_albert,10.0,8,100,4,1.867579908675799
50,0.5,barabasi_albert,10.0,9,100,101,35.61805555555555
10,0.99,complete,0.75,7,100,51,16.219696969696972
50,0.75,erdos_renyi,10.0,9,100,501,231.54404355979253
90,0.9,barabasi_albert,2.0,10,1000,501,197.00632911392404
90,0.75,barabasi_albert,10.0,6,500,11,4.762626262626262
25,0.1,erdos_renyi,10.0,2,500,501,189.7730294396961
100,0.9,complete,1.0,3,1000,11,5.1524130190796855
10,0.1,barabasi_albert,1.0,5,200,51,13.666666666666666
50,0.9,erdos_renyi,10.0,5,500,11,5.155531198009975
10,0.5,erdos_renyi,1.0,8,100,4,1.5415228893489763
90,0.9,complete,5.0,6,50,501,234.63457269700334
10,0.25,barabasi_albert,10.0,7,200,101,18.666666666666668
100,0.5,complete,10.0,3,100,51,23.282020202020203
25,0.1,erdos_renyi,5.0,4,100,11,4.430059523809524
50,0.5,complete,0.75,9,100,51,23.003267973856207
10,0.9,complete,2.0,6,200,11,4.091666666666667
50,0.9,erdos_renyi,1.0,5,500,101,45.04086011308706
25,0.9,erdos_renyi,2.0,5,100,501,213.30270332407895
75,0.75,erdos_renyi,1.0,4,1000,4,1.8700100051329802
10,0.1,barabasi_albert,5.0,5,100,501,73.33333333333333
10,0.75,erdos_renyi,10.0,8,500,51,19.17659493284493
75,0.1,complete,10.0,5,500,501,192.16606498194946
25,0.9,erdos_renyi,1.0,8,1000,101,43.41126346081227
10,0.5,barabasi_albert,10.0,7,200,11,3.5833333333333335
75,0.75,erdos_renyi,1.0,5,200,4,1.8820981850433085
100,0.99,erdos_renyi,2.0,7,100,4,1.9254162624537727
90,0.9,erdos_renyi,10.0,5,500,4,1.950124683345963
50,0.25,barabasi_albert,2.0,6,1000,101,26.48611111111111
50,0.99,barabasi_albert,10.0,9,50,501,205.05263157894737
75,0.25,barabasi_albert,10.0,3,200,11,4.287037037037037
100,0.25,erdos_renyi,5.0,9,500,51,23.198919142233205
90,0.1,complete,5.0,8,200,4,1.9066666666666665
100,0.9,complete,10.0,4,500,11,5.214590347923681
100,0.5,erdos_renyi,5.0,2,500,4,1.9216420080685142
25,0.5,barabasi_albert,1.0,2,200,101,43.04347826086956
75,0.75,barabasi_albert,0.75,3,50,4,1.654434250764526
50,0.5,complete,2.0,2,100,101,46.47331154684096
50,0.9,erdos_renyi,10.0,5,100,11,5.125323429481374
75,0.75,barabasi_albert,10.0,2,100,11,4.7889908256880735
10,0.25,erdos_renyi,2.0,4,200,51,13.622510822510824
90,0.99,erdos_renyi,5.0,7,500,101,47.49162757951233
75,0.1,complete,5.0,5,200,101,39.23826714801444
90,0.5,barabasi_albert,1.0,5,100,11,3.8863636363636362
100,0.9,barabasi_albert,10.0,3,1000,11,4.746212121212121
50,0.9,complete,0.75,4,50,11,4.990925589836661
75,0.5,complete,1.0,9,200,101,46.83874068733477
100,0.99,complete,10.0,10,50,4,1.968503401360544
50,0.1,complete,0.75,8,500,101,36.87158469945356
100,0.99,complete,1.0,2,1000,11,5.2478231292517
50,0.5,complete,2.0,4,200,4,1.852941176470588
100,0.75,complete,0.75,8,100,501,237.2816091954023
90,0.9,complete,1.0,9,50,51,24.242138364779876
50,0.5,barabasi_albert,5.0,6,100,4,1.8125
75,0.1,barabasi_albert,10.0,10,100,101,29.690476190476193
75,0.75,barabasi_albert,5.0,10,100,4,1.8776758409785934
50,0.75,complete,1.0,4,500,11,4.851851851851851
10,0.75,barabasi_albert,5.0,6,100,501,153.86111111111111
75,0.25,erdos_renyi,10.0,2,200,501,223.79508450655854
75,0.9,complete,2.0,6,50,51,23.43839273795221
25,0.9,barabasi_albert,0.75,8,500,11,4.008130081300813
90,0.1,complete,0.75,9,500,4,1.8116666666666668
10,0.5,barabasi_albert,2.0,7,1000,11,2.875
10,0.9,barabasi_albert,2.0,3,500,51,18.142857142857142
75,0.1,erdos_renyi,10.0,3,1000,51,19.514037930280224
25,0.75,erdos_renyi,5.0,3,100,51,21.50334760972426
75,0.5,complete,1.0,8,500,11,5.074981975486661
50,0.75,complete,2.0,10,1000,101,46.04901960784314
50,0.25,complete,0.75,10,100,51,22.319172113289763
10,0.25,complete,10.0,6,50,51,14.363636363636365
10,0.25,complete,5.0,5,500,4,1.515151515151515
75,0.99,complete,2.0,10,100,101,48.105084334425435
10,0.1,barabasi_albert,10.0,2,50,4,1.3333333333333333
50,0.9,erdos_renyi,2.0,6,200,501,224.86769022089416
75,0.75,complete,5.0,7,1000,11,5.145923434246355
10,0.9,erdos_renyi,10.0,3,1000,11,4.335873298004235
100,0.75,barabasi_albert,5.0,2,50,101,39.54195011337868
